OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET
Drug Offenses,2017-03-06,2207 N HOOKER ST
Burglary,2018-01-03,4400 E EVANS AVE
Burglary,2018-01-03,3435 S YOSEMITE ST
Burglary,2016-02-01,5050 N YORK ST
Burglary,2016-05-21,3888 E MEXICO AVE
Agg ASLT-Other,2015-07-19,16TH ST / CALIFORNIA ST
Burglary,2018-01-03,120 S KALAMATH ST
Drug Offenses,2015-04-22,401 16TH ST
Burglary,2018-01-03,755 S FEDERAL BLVD
Burglary,2019-01-12,1255 W VIRGINIA AVE
Theft from Motor Vehicle,2019-01-08,1798 W MISSISSIPPI AVE
Larceny,2018-01-05,4902 E SMITH RD
Agg ASLT-Other,2016-05-26,1055 19TH ST
Robbery-Street-Res,2019-01-15,970 N LINCOLN ST
Burglary,2019-02-05,1270 W CEDAR AVE
Simple Assault,2019-02-23,3944 N HIGH ST
Larceny,2019-01-12,1001 N GAYLORD ST
Burglary,2020-01-23,399 S HARRISON ST
Larceny,2020-01-21,970 S ONEIDA ST
Larceny,2015-04-13,1100 BLOCK E COLFAX AVE
Criminal Mischief-Vehicle,2020-01-25,2863 LARIMER ST
Robbery-Street-Res,2020-01-21,6858 E EVANS AVE
Burglary,2016-02-28,1005 N FEDERAL BLVD
Theft from Motor Vehicle,2016-01-30,1800 S BROADWAY ST
Burglary,2015-05-19,2424 E 43RD AVE
Burglary,2017-01-14,505 W 40TH AVE
Larceny,2019-01-18,5200 E SMITH RD
Burglary,2018-01-22,4105 N JASON ST
All Other Crimes,2015-08-03,330 N FEDERAL BLVD
All Other Crimes,2019-01-17,990 W 6TH AVE
Burglary,2015-04-26,4228 N YORK ST
Larceny,2019-01-04,6853 LEETSDALE DR
Larceny,2018-02-26,4228 N YORK ST
Criminal Mischief-Property,2018-01-15,875 N NAVAJO ST
Burglary,2020-01-07,1201 W CUSTER PL
Robbery-Business,2020-01-03,3555 S YOSEMITE ST
Burglary,2015-12-04,855 N HUMBOLDT ST
Robbery-Street-Res,2020-01-16,6858 E EVANS AVE
Robbery-Street-Res,2017-08-26,901 AURARIA PKWY
Burglary,2018-01-19,1619 W 12TH AVE
Burglary,2020-01-04,6858 E EVANS AVE
Burglary,2015-03-27,1569 S COLORADO BLVD
Drug Offenses,2016-01-11,754 S BROADWAY ST
Burglary,2020-01-30,1568 S FEDERAL BLVD
