st_loc,building_typology,0
A ST,Garage,4
A ST,Medical/Lab/Production,1
A ST,Office,2
A ST,Residential (Mixed-Use),3
A ST,Restaurant,1
A ST,Vacant,16
A ST,Warehouse,4
ABBOT ST,Multi-Family (2 units),5
ABBOT ST,Multi-Family (3 units),13
ABBOT ST,Multi-Family (4-6 units),3
ABBOT ST,Multi-Family (7-30 units),2
ABBOT ST,Residential (Mixed-Use),1
ABBOT ST,Vacant,1
ABBOTSFORD ST,Multi-Family (2 units),7
ABBOTSFORD ST,Multi-Family (3 units),4
ABBOTSFORD ST,Single-Family,3
ABBY RD,Convention/Assembly,1
ABBY RD,Multi-Family (2 units),1
ABBY RD,Multi-Family (4-6 units),1
ABBY RD,Single-Family,2
ABBY RD,Vacant,2
ABERDEEN ST,Multi-Family (7-30 units),2
ABERDEEN ST,Office,1
ABERDEEN ST,Residential (Mixed-Use),1
ABERDEEN ST,Single-Family,2
ACACIA RD,Multi-Family (2 units),1
ACACIA RD,Single-Family,6
ACADEMY HILL RD,Convention/Assembly,1
ACADEMY HILL RD,Multi-Family (2 units),11
ACADEMY HILL RD,Multi-Family (3 units),3
ACADEMY HILL RD,Multi-Family (4-6 units),3
ACADEMY HILL RD,Office,3
ACADEMY HILL RD,Restaurant,1
ACADEMY HILL RD,Retail,1
ACADEMY HILL RD,Single-Family,9
ACADEMY HILL RD,Warehouse,2
ACADIA ST,Multi-Family (3 units),2
ACADIA ST,Vacant,1
ACHORN CI,Multi-Family (2 units),1
ACKLEY PL,Medical/Lab/Production,1
ACKLEY PL,Multi-Family (4-6 units),1
ACKLEY PL,Single-Family,1
ACKLEY PL,Vacant,1
ACORN ST,Multi-Family (2 units),1
ACORN ST,Single-Family,7
ACTON ST,Single-Family,1
ACTON ST,Vacant,4
ADA ST,Multi-Family (2 units),1
ADA ST,Single-Family,2
ADAIR RD,Multi-Family (2 units),5
ADAIR RD,Single-Family,3
ADAMS PL,Medical/Lab/Production,3
ADAMS ST,Convention/Assembly,1
ADAMS ST,Garage,1
ADAMS ST,Multi-Family (2 units),77
ADAMS ST,Multi-Family (3 units),73
ADAMS ST,Multi-Family (31-99 units),2
ADAMS ST,Multi-Family (4-6 units),11
ADAMS ST,Multi-Family (7-30 units),4
ADAMS ST,Multi-Family (>= 100 units),1
ADAMS ST,Office,6
ADAMS ST,Residential (Mixed-Use),9
ADAMS ST,Restaurant,4
ADAMS ST,Retail,19
ADAMS ST,Single-Family,67
ADAMS ST,Vacant,24
ADAMS ST,Warehouse,5
ADAMS TE,Multi-Family (2 units),3
ADAMS TE,Multi-Family (3 units),1
ADAMSON ST,Garage,1
ADAMSON ST,Multi-Family (2 units),17
ADAMSON ST,Multi-Family (3 units),6
ADAMSON ST,Single-Family,9
ADAMSON ST,Vacant,1
ADANAC TE,Multi-Family (2 units),5
ADANAC TE,Vacant,2
ADDINGTON RD,Single-Family,33
ADDISON ST,Multi-Family (2 units),2
ADDISON ST,Multi-Family (4-6 units),1
ADDISON ST,Office,1
ADDISON ST,Single-Family,5
ADDISON ST,Vacant,2
ADDISON ST,Warehouse,6
ADELAIDE ST,Convention/Assembly,1
ADELAIDE ST,Multi-Family (2 units),6
ADELAIDE ST,Multi-Family (3 units),5
ADELAIDE ST,Vacant,1
ADELAIDE TE,Multi-Family (3 units),1
ADELAIDE TE,Single-Family,1
ADELLA PL,Multi-Family (3 units),1
ADELLA PL,Single-Family,1
ADIRONDACK PL,Multi-Family (2 units),1
ADRIAN ST,Multi-Family (2 units),1
ADRIAN ST,Office,1
ADRIAN ST,Vacant,3
AGASSIZ PK,Multi-Family (2 units),2
AGASSIZ PK,Single-Family,3
AGAWAM ST,Multi-Family (2 units),2
AGAWAM ST,Multi-Family (3 units),1
AGAWAM ST,Single-Family,6
AGNES AV,Multi-Family (2 units),2
AGNES AV,Vacant,2
AGNES AV,Warehouse,2
AGUADILLA ST,Residential (Mixed-Use),2
AINSLEY ST,Multi-Family (2 units),1
AINSLEY ST,Single-Family,8
AINSWORTH ST,Convention/Assembly,1
AINSWORTH ST,Multi-Family (2 units),16
AINSWORTH ST,Multi-Family (3 units),3
AINSWORTH ST,Residential (Mixed-Use),1
AINSWORTH ST,Single-Family,6
AKRON PL,Single-Family,4
AKRON ST,Multi-Family (2 units),3
AKRON ST,Multi-Family (3 units),2
AKRON ST,Multi-Family (4-6 units),1
AKRON ST,Office,1
AKRON ST,Single-Family,5
AKRON ST,Vacant,3
ALABAMA ST,Multi-Family (2 units),4
ALABAMA ST,Office,26
ALABAMA ST,Single-Family,43
ALABAMA ST,Vacant,23
ALABAMA ST,Warehouse,1
ALAMEDA RD,Multi-Family (2 units),4
ALAMEDA RD,Single-Family,6
ALAMEDA RD,Vacant,1
ALARIC ST,Multi-Family (2 units),3
ALARIC ST,Multi-Family (3 units),2
ALARIC ST,Single-Family,10
ALARIC ST,Vacant,1
ALARIC TE,Single-Family,3
ALARIC TE,Vacant,2
ALASKA ST,Multi-Family (2 units),4
ALASKA ST,Multi-Family (3 units),1
ALASKA ST,Multi-Family (4-6 units),2
ALASKA ST,Single-Family,6
ALASKA ST,Vacant,1
ALBAN ST,Multi-Family (2 units),10
ALBAN ST,Multi-Family (3 units),4
ALBAN ST,Multi-Family (4-6 units),1
ALBAN ST,Single-Family,16
ALBANO ST,Multi-Family (2 units),13
ALBANO ST,Single-Family,15
ALBANY ST,Convention/Assembly,4
ALBANY ST,Garage,2
ALBANY ST,Hotel,1
ALBANY ST,Medical/Lab/Production,13
ALBANY ST,Multi-Family (31-99 units),1
ALBANY ST,Multi-Family (>= 100 units),1
ALBANY ST,Office,6
ALBANY ST,Residential (Mixed-Use),4
ALBANY ST,Retail,3
ALBANY ST,Vacant,11
ALBANY ST,Warehouse,3
ALBEMARLE CT,Single-Family,3
ALBEMARLE ST,Multi-Family (3 units),1
ALBEMARLE ST,Multi-Family (7-30 units),2
ALBEMARLE ST,Office,1
ALBEMARLE ST,Vacant,1
ALBERT PL,Restaurant,1
ALBERTA ST,Garage,2
ALBERTA ST,Multi-Family (2 units),1
ALBERTA ST,Single-Family,7
ALBERTA ST,Vacant,1
ALBION PL,Multi-Family (2 units),2
ALBION PL,Multi-Family (3 units),2
ALBION PL,Single-Family,8
ALBION ST,Multi-Family (2 units),7
ALBION ST,Multi-Family (3 units),7
ALBION ST,Single-Family,15
ALBION ST,Vacant,3
ALBRIGHT ST,Single-Family,12
ALCOTT ST,Convention/Assembly,1
ALCOTT ST,Multi-Family (2 units),9
ALCOTT ST,Multi-Family (4-6 units),1
ALCOTT ST,Single-Family,3
ALDER ST,Single-Family,1
ALDER ST,Vacant,2
ALDIE ST,Garage,1
ALDIE ST,Multi-Family (2 units),15
ALDIE ST,Multi-Family (3 units),6
ALDIE ST,Multi-Family (4-6 units),2
ALDIE ST,Single-Family,7
ALDO TE,Single-Family,6
ALDRICH ST,Multi-Family (2 units),18
ALDRICH ST,Multi-Family (3 units),4
ALDRICH ST,Single-Family,40
ALDRICH ST,Vacant,2
ALDWIN RD,Multi-Family (3 units),1
ALDWIN RD,Single-Family,1
ALDWORTH ST,Multi-Family (2 units),5
ALDWORTH ST,Single-Family,14
ALEXANDER ST,Multi-Family (2 units),8
ALEXANDER ST,Multi-Family (3 units),4
ALEXANDER ST,Multi-Family (31-99 units),38
ALEXANDER ST,Multi-Family (4-6 units),1
ALEXANDER ST,Office,2
ALEXANDER ST,Single-Family,16
ALEXANDER ST,Vacant,16
ALFORD ST,Garage,1
ALFORD ST,Medical/Lab/Production,1
ALFORD ST,Vacant,2
ALFORD ST,Warehouse,2
ALFRED ST,Single-Family,1
ALGER ST,Vacant,7
ALGER ST,Warehouse,3
ALGONQUIN ST,Convention/Assembly,1
ALGONQUIN ST,Multi-Family (2 units),5
ALGONQUIN ST,Multi-Family (3 units),2
ALGONQUIN ST,Residential (Mixed-Use),3
ALGONQUIN ST,Single-Family,10
ALHAMBRA RD,Multi-Family (2 units),6
ALHAMBRA RD,Single-Family,4
ALHAMBRA RD,Vacant,1
ALICIA RD,Multi-Family (2 units),29
ALICIA RD,School,1
ALICIA RD,Single-Family,1
ALKYRIS RD,Single-Family,1
ALKYRIS RD,Vacant,3
ALLANDALE ST,Medical/Lab/Production,3
ALLANDALE ST,Multi-Family (3 units),2
ALLANDALE ST,Multi-Family (>= 100 units),1
ALLANDALE ST,Office,1
ALLANDALE ST,Single-Family,12
ALLANDALE ST,Vacant,3
ALLEGHANY ST,Convention/Assembly,2
ALLEGHANY ST,Multi-Family (2 units),10
ALLEGHANY ST,Multi-Family (3 units),6
ALLEGHANY ST,Office,1
ALLEGHANY ST,School,1
ALLEGHANY ST,Single-Family,3
ALLEGHANY ST,Vacant,3
ALLEN RD,Multi-Family (2 units),2
ALLEN RD,Multi-Family (4-6 units),1
ALLEN RD,Single-Family,1
ALLEN ST,Multi-Family (2 units),2
ALLEN ST,Multi-Family (3 units),2
ALLEN ST,Office,1
ALLEN ST,Single-Family,2
ALLENWOOD ST,Single-Family,11
ALLERTON ST,Garage,1
ALLERTON ST,Office,2
ALLERTON ST,Vacant,5
ALLERTON ST,Warehouse,1
ALLEYNE ST,Multi-Family (2 units),1
ALLEYNE ST,Multi-Family (3 units),1
ALLEYNE ST,Single-Family,13
ALLEYNE ST,Vacant,5
ALLSTATE RD,Retail,4
ALLSTATE RD,Vacant,2
ALLSTON ST,Multi-Family (2 units),33
ALLSTON ST,Multi-Family (3 units),21
ALLSTON ST,Multi-Family (4-6 units),6
ALLSTON ST,Multi-Family (7-30 units),6
ALLSTON ST,Retail,1
ALLSTON ST,School,1
ALLSTON ST,Single-Family,27
ALLSTON ST,Vacant,7
ALMONT ST,Multi-Family (2 units),18
ALMONT ST,Multi-Family (3 units),6
ALMONT ST,Multi-Family (7-30 units),2
ALMONT ST,Single-Family,44
ALMONT ST,Vacant,8
ALNA PL,Single-Family,1
ALNA PL,Vacant,1
ALPHA RD,Multi-Family (2 units),7
ALPHA RD,Multi-Family (3 units),13
ALPHA RD,Single-Family,8
ALPHA RD,Vacant,4
ALPHEUS RD,Multi-Family (2 units),9
ALPHEUS RD,Single-Family,17
ALPINE PL,Single-Family,2
ALPINE ST,Multi-Family (2 units),3
ALPINE ST,Multi-Family (3 units),11
ALPINE ST,Office,4
ALPINE ST,Single-Family,2
ALPINE ST,Vacant,8
ALPINE WY,Vacant,2
ALTACREST RD,Single-Family,6
ALTAIR RD,Single-Family,2
ALTAIR RD,Vacant,8
ALTHEA ST,Multi-Family (3 units),6
ALTHER ST,Multi-Family (7-30 units),1
ALTHER ST,Vacant,1
ALVAH KITTREDGE PK,Multi-Family (2 units),3
