,ct_perc_children_under_5
,mean
st_loc,
A ST,7.760494063806451
ABBOT ST,32.85957931
ABBOTSFORD ST,22.60032103
ABBY RD,9.167842031000001
ABERDEEN ST,0.409706902
ACACIA RD,15.4410179
ACADEMY HILL RD,12.306030129764705
ACADIA ST,9.073088771
ACHORN CI,16.32458234
ACKLEY PL,16.93430657
ACORN ST,14.1903172
ACTON ST,22.1540559
ADA ST,22.07008587
ADAIR RD,5.189413596
ADAMS PL,3.163618389
ADAMS ST,26.32691318327381
ADAMS TE,20.92698806
ADAMSON ST,5.764503441
ADANAC TE,28.57915615
ADDINGTON RD,19.21774467
ADDISON ST,21.71680117
ADELAIDE ST,10.27837259
ADELAIDE TE,10.27837259
ADELLA PL,11.42425767
ADIRONDACK PL,23.20726916
ADRIAN ST,30.17217819
AGASSIZ PK,20.75596817
AGAWAM ST,20.92698806
AGNES AV,24.039215690000002
AGUADILLA ST,17.71062271
AINSLEY ST,19.51882033
AINSWORTH ST,15.20583021
AKRON PL,32.72251309
AKRON ST,32.72251309
ALABAMA ST,20.72992701
ALAMEDA RD,19.35197514
ALARIC ST,15.4410179
ALARIC TE,15.4410179
ALASKA ST,30.74534161
ALBAN ST,23.5932543
ALBANO ST,17.31476616
ALBANY ST,18.48484588295385
ALBEMARLE CT,22.1540559
ALBEMARLE ST,18.6423965615
ALBERT PL,20.92698806
ALBERTA ST,22.72007241
ALBION PL,13.33878887
ALBION ST,28.49370664625
ALBRIGHT ST,19.21774467
ALCOTT ST,5.764503441
ALDER ST,17.31476616
ALDIE ST,7.466172735999999
ALDO TE,25.01785714
ALDRICH ST,25.82231786
ALDWIN RD,23.15018315
ALDWORTH ST,20.75596817
ALEXANDER ST,14.48376505
ALFORD ST,13.33878887
ALFRED ST,12.86732742
ALGER ST,6.820987654
ALGONQUIN ST,27.33160622
ALHAMBRA RD,19.35197514
ALICIA RD,20.88386434
ALKYRIS RD,16.82178559
ALLANDALE ST,14.90618552
ALLEGHANY ST,7.466489446076922
ALLEN RD,12.66409266
ALLEN ST,20.345349641428573
ALLENWOOD ST,22.72007241
ALLERTON ST,11.58208955
ALLEYNE ST,22.720072409999997
ALLSTATE RD,16.67836257
ALLSTON ST,13.784792852424529
ALMONT ST,26.79756075
ALNA PL,16.93989071
ALPHA RD,16.66169006
ALPHEUS RD,24.05442177
ALPINE PL,32.72251309
ALPINE ST,32.44240672225806
ALPINE WY,17.83369803
ALTACREST RD,15.4410179
ALTAIR RD,16.82178559
ALTHEA ST,20.92698806
ALTHER ST,11.58208955
ALVAH KITTREDGE PK,10.45621046
ALVAN TE,19.3877551
ALVARADO AV,22.1540559
ALVESTON ST,12.86732742
ALVESTON TE,12.86732742
ALWARD RD,14.92084877
ALWIN ST,22.1540559
AMBOY ST,5.764503441
AMBROSE ST,21.08535896
AMERICAN LEGION HW,25.30006835811765
AMESBURY ST,19.21774467
AMHERST ST,17.31476616
AMORET RD,16.82178559
AMORY AV,28.46638655
AMORY ST,20.255138000526316
ANAWAN AV,23.35877000264706
ANAWAN TE,25.82231786
ANCHOR WY,0.0
ANDERSON PL,6.851192107
ANDERSON ST,7.666650450666667
ANDOVER RD,14.92084877
ANDRIA RD,24.03921569
ANGELL ST,32.85957931
ANITA TE,10.45621046
ANNABEL ST,19.3877551
ANNAFRAN ST,24.03921569
ANNAPOLIS ST,19.3877551
ANNAVOY ST,23.46955523
ANNUNCIATION RD,15.4954955
ANSEL RD,40.72595281
ANSELM TE,14.802631580000002
ANSON ST,16.60366386
ANSONIA RD,15.441017899999999
ANTHONY J GRIECO TE,18.41977702
ANTHONY R VALENTI WY,8.5
ANTRIM ST,23.46955523
ANTWERP ST,9.167842031
APPIAN PL,19.69360568
APPIAN WY,9.167842031
APPLETON ST,13.391787886086956
ARAMON ST,16.93989071
ARBELLA RD,20.88386434
ARBORCREST TE,24.88451496
ARBORETUM RD,23.15018315
ARBORFIELD RD,24.039215690000002
ARBOROUGH RD,15.20583021
ARBORVIEW RD,14.89361702
ARBORWAY ,15.74864044
ARBORWAY ST,17.265692290133334
ARBORWAY TE,20.75596817
ARBROTH ST,19.51882033
ARBUTUS ST,40.72595281
ARCADIA PK,30.98078868
ARCADIA ST,27.339108132962966
ARCH ST,7.878685191
ARCHDALE RD,23.15018315
ARCOLA ST,8.589870904
ARDALE ST,15.20583021
ARDEE ST,16.93989071
ARDEN ST,5.764503441
ARDENT ST,25.82231786
ARDMORE RD,19.35197514
ARGUS PL,14.80263158
ARGYLE ST,23.5932543
ARGYLE TE,23.5932543
ARION ST,14.48376505
ARLINGTON AV,13.338788869999998
ARLINGTON CT,12.66409266
ARLINGTON ST,14.02620979374074
ARMANDINE ST,22.353363979322037
ARMINGTON ST,11.42425767
ARMORY ST,13.338788869999998
ARMSTRONG ST,19.56241956
ARNOLD PL,23.27143422
ARUNDEL ST,0.409706902
ARVALE RD,27.33160622
ASCOT ST,9.167842031
ASHBURTON PL,6.362889984
ASHCROFT ST,12.86732742
ASHEVILLE RD,24.05442177
ASHEVILLE ST,24.05442177
ASHFIELD ST,15.20583021
ASHFORD CT,5.764503441
ASHFORD ST,5.764503441
ASHFORD TE,5.764503441
ASHLAND AV,15.4410179
ASHLAND ST,20.92698806
ASHLEY ST,22.702082151964284
ASHMONT CT,20.2915317
ASHMONT PK,28.57915615
ASHMONT ST,23.118804460621117
ASHMORE RD,23.15018315
ASHTON ST,39.27756482454546
ASHWOOD TE,22.07008587
ASPEN ST,30.745341610000004
ASPINWALL RD,29.93432423
ASTICOU RD,23.15018315
ASTORIA ST,32.14285714
ATHELWOLD ST,29.93432423
ATHENS ST,5.746011087913043
ATHERSTONE ST,20.88386434
ATHERTON AV,18.12131445
ATHERTON PL,28.46638655
ATHERTON ST,22.9886485595
ATHOL ST,9.167842031
ATKINS ST,10.2189781
ATKINSON ST,11.58208955
ATLANTIC AV,7.153768228
ATLANTIC ST,7.483686786000001
ATLANTIS ST,19.21774467
ATWILL RD,19.35197514
ATWOOD SQ,16.32458234
AU BON PAIN WY,0.0
AUBURN PL,13.33878887
AUBURN SQ,13.33878887
AUBURN ST,13.33878887
AUBURN TE,13.33878887
AUCKLAND ST,20.79370893769231
AUGUSTUS AV,21.119021928
AURIGA ST,19.51882033
AUSTIN AV,23.46955523
AUSTIN ST,22.37460386836735
AUTUMN ST,14.108276660000001
AVALON RD,19.21774467
AVENUE DE LAFAYETTE ,7.878685191
AVENUE LOUIS PASTEUR ,2.427484057
AVERBUCH TE,17.66409266
AVERTON ST,17.31476616
AVERY PL,13.33878887
AVERY ST,7.878685191
AVILA RD,23.27143422
AVON PL,21.81865018
AVON ST,14.89361702
AVONDALE ST,23.20726916
AYLES RD,14.102162330000002
AYR RD,1.554815167
B ST,7.2325344185
BABBITT ST,0.744145327
BABCOCK ST,5.764503441
BABSON ST,27.362973265365852
BACK ST,7.979838034
BADGER PL,21.81865018
BADGER RD,25.01785714
BAGNAL ST,9.167842031
BAILEY ST,20.88386434
BAIRD ST,40.72595281
BAKER AV,14.48376505
BAKER CT,16.67836257
BAKER PL,19.21774467
BAKER ST,17.690358210493827
BAKERS AL,5.875152999
BAKERSFIELD ST,19.3877551
BALDWIN PL,5.803195540636364
BALDWIN ST,13.33878887
BALFOUR ST,30.172178190000004
BALINA PL,31.84983348
BALL ST,22.83591731
BALLARD ST,16.32458234
BALLARD WY,16.32458234
BALLIN PL,12.86732742
BALLOU AV,24.79368497
BALLOU PL,24.79368497
BALMORAL PK,17.17118998
BALSAM ST,40.72595281
BANCROFT ST,28.46638655
BANFIELD AV,24.88451496
BANGOR RD,19.21774467
BANKS ST,19.21774467
BANTON ST,23.5932543
BANTRY WY,17.17118998
BARBARA ST,12.86732742
BARCLAY RD,19.35197514
BARD AV,21.08535896
BARDWELL ST,16.32458234
BARKER ST,12.66409266
BARLOW ST,24.594849595
BARNA RD,20.88386434
BARNARD PL,9.073088771
BARNES AV,23.46955523
BARRETT AV,17.17118998
BARRINGTON RD,28.57915615
BARROWS ST,11.424257669999998
BARRY PK,27.49130939
BARRY ST,26.488157295957446
BARSTOW ST,7.728927471
