,ct_perc_low_to_no_income
,mean
st_loc,
A ST,17.45599181903226
ABBOT ST,44.83608111
ABBOTSFORD ST,35.34510433
ABBY RD,17.20733427
ABERDEEN ST,28.20674441
ACACIA RD,8.194953634
ACADEMY HILL RD,28.006082797647057
ACADIA ST,12.2374685
ACHORN CI,19.23627685
ACKLEY PL,13.07612096
ACORN ST,6.677796327
ACTON ST,15.132924339999999
ADA ST,17.98561151
ADAIR RD,14.19304619
ADAMS PL,22.54078102
ADAMS ST,28.533009338696427
ADAMS TE,37.21903581
ADAMSON ST,41.5560472
ADANAC TE,15.578795529999999
ADDINGTON RD,6.417202845
ADDISON ST,22.96404989
ADELAIDE ST,11.09207709
ADELAIDE TE,11.09207709
ADELLA PL,42.17413186
ADIRONDACK PL,32.29371316
ADRIAN ST,35.91145122
AGASSIZ PK,7.758620689999999
AGAWAM ST,37.21903581
AGNES AV,21.620915030000003
AGUADILLA ST,28.27838828
AINSLEY ST,16.31742336
AINSWORTH ST,13.2952531
AKRON PL,40.62827225
AKRON ST,40.62827225
ALABAMA ST,27.70072993
ALAMEDA RD,4.260985353
ALARIC ST,8.194953634
ALARIC TE,8.194953634
ALASKA ST,43.58178054
ALBAN ST,20.9717816
ALBANO ST,12.63794009
ALBANY ST,46.47788177169231
ALBEMARLE CT,15.13292434
ALBEMARLE ST,18.524042293333334
ALBERT PL,37.21903581
ALBERTA ST,4.254356189
ALBION PL,15.83469722
ALBION ST,28.623296425000003
ALBRIGHT ST,6.417202845000001
ALCOTT ST,41.5560472
ALDER ST,12.63794009
ALDIE ST,29.381690735000003
ALDO TE,15.0
ALDRICH ST,19.61266523
ALDWIN RD,29.01098901
ALDWORTH ST,7.75862069
ALEXANDER ST,37.13973003
ALFORD ST,15.83469722
ALFRED ST,19.96174578
ALGER ST,16.88271605
ALGONQUIN ST,30.56994819
ALHAMBRA RD,4.260985353
ALICIA RD,22.4049332
ALKYRIS RD,9.858669424
ALLANDALE ST,7.010282126692308
ALLEGHANY ST,37.96998525461538
ALLEN RD,28.72586873
ALLEN ST,16.25056959257143
ALLENWOOD ST,4.254356189
ALLERTON ST,21.70149254
ALLEYNE ST,4.254356189
ALLSTATE RD,30.292397659999995
ALLSTON ST,26.29207576226415
ALMONT ST,39.072284136582276
ALNA PL,23.28709542
ALPHA RD,20.66288444
ALPHEUS RD,19.61904762
ALPINE PL,40.62827225
ALPINE ST,40.015131694516135
ALPINE WY,32.74981765
ALTACREST RD,8.194953634
ALTAIR RD,9.858669424
ALTHEA ST,37.21903581
ALTHER ST,21.70149254
ALVAH KITTREDGE PK,26.34032634
ALVAN TE,24.24242424
ALVARADO AV,15.13292434
ALVESTON ST,19.96174578
ALVESTON TE,19.96174578
ALWARD RD,5.355338497999999
ALWIN ST,15.13292434
AMBOY ST,41.5560472
AMBROSE ST,53.02430752
AMERICAN LEGION HW,23.269516686352944
AMESBURY ST,6.417202845
AMHERST ST,12.63794009
AMORET RD,9.858669424
AMORY AV,65.31512605
AMORY ST,29.378379599736842
ANAWAN AV,7.4163609915588244
ANAWAN TE,19.61266523
ANCHOR WY,0.0
ANDERSON PL,21.97862428
ANDERSON ST,20.278532285222223
ANDOVER RD,5.355338498
ANDRIA RD,21.62091503
ANGELL ST,44.83608111
ANITA TE,26.34032634
ANNABEL ST,24.24242424
ANNAFRAN ST,21.62091503
ANNAPOLIS ST,24.24242424
ANNAVOY ST,33.03791236
ANNUNCIATION RD,46.51222651
ANSEL RD,50.56261343
ANSELM TE,30.61951754
ANSON ST,35.50450712
ANSONIA RD,8.194953634
ANTHONY J GRIECO TE,36.98497334
ANTHONY R VALENTI WY,12.852941179999998
ANTRIM ST,33.03791236
ANTWERP ST,17.20733427
APPIAN PL,27.26465364
APPIAN WY,17.20733427
APPLETON ST,21.320224093333334
ARAMON ST,23.28709542
ARBELLA RD,22.4049332
ARBORCREST TE,29.624422569999997
ARBORETUM RD,29.010989009999996
ARBORFIELD RD,21.620915030000003
ARBOROUGH RD,13.2952531
ARBORVIEW RD,8.428805237
ARBORWAY ,21.9666561785
ARBORWAY ST,15.240542882413331
ARBORWAY TE,7.75862069
ARBROTH ST,16.31742336
ARBUTUS ST,50.56261343
ARCADIA PK,36.7239636
ARCADIA ST,30.593041434074074
ARCH ST,21.23009149
ARCHDALE RD,29.010989009999996
ARCOLA ST,20.35749752
ARDALE ST,13.2952531
ARDEE ST,23.28709542
ARDEN ST,41.5560472
ARDENT ST,19.61266523
ARDMORE RD,4.260985353
ARGUS PL,30.61951754
ARGYLE ST,20.9717816
ARGYLE TE,20.9717816
ARION ST,37.13973003
ARLINGTON AV,15.83469722
ARLINGTON CT,28.72586873
ARLINGTON ST,23.79041145147407
ARMANDINE ST,21.627630637288135
ARMINGTON ST,42.17413186
ARMORY ST,15.83469722
ARMSTRONG ST,32.26083226
ARNOLD PL,12.72224417
ARUNDEL ST,28.20674441
ARVALE RD,30.56994819
ASCOT ST,17.20733427
ASHBURTON PL,17.05665025
ASHCROFT ST,19.96174578
ASHEVILLE RD,19.61904762
ASHEVILLE ST,19.61904762
ASHFIELD ST,13.2952531
ASHFORD CT,41.5560472
ASHFORD ST,41.5560472
ASHFORD TE,41.5560472
ASHLAND AV,8.194953634
ASHLAND ST,37.21903581
ASHLEY ST,32.88527162607143
ASHMONT CT,11.22165664
ASHMONT PK,15.578795530000003
ASHMONT ST,16.587917180608695
ASHMORE RD,29.01098901
ASHTON ST,47.58717540181818
ASHWOOD TE,17.98561151
ASPEN ST,43.58178054
ASPINWALL RD,27.41099205
ASTICOU RD,29.01098901
ASTORIA ST,49.09008189
ATHELWOLD ST,27.41099205
ATHENS ST,11.778135158869565
ATHERSTONE ST,22.4049332
ATHERTON AV,13.053770798333334
ATHERTON PL,65.31512605
ATHERTON ST,40.50159863225
ATHOL ST,17.20733427
ATKINS ST,13.83211679
ATKINSON ST,21.70149254
ATLANTIC AV,18.937046649655173
ATLANTIC ST,12.39804241
ATLANTIS ST,6.417202845
ATWILL RD,4.260985353
ATWOOD SQ,19.23627685
AU BON PAIN WY,0.0
AUBURN PL,15.83469722
AUBURN SQ,15.83469722
AUBURN ST,15.83469722
AUBURN TE,15.83469722
AUCKLAND ST,31.515751884615383
AUGUSTUS AV,16.916077226
AURIGA ST,16.31742336
AUSTIN AV,33.03791236
AUSTIN ST,16.00530476455782
AUTUMN ST,28.504040115142857
AVALON RD,6.417202845
AVENUE DE LAFAYETTE ,21.23009149
AVENUE LOUIS PASTEUR ,3.8263731739999995
AVERBUCH TE,7.722007722
AVERTON ST,12.637940089999999
AVERY PL,15.83469722
AVERY ST,21.23009149
AVILA RD,12.72224417
AVON PL,19.73209686
AVON ST,8.428805237
AVONDALE ST,32.29371316
AYLES RD,21.32560326
AYR RD,16.54767571
B ST,15.669318862499999
BABBITT ST,8.57955789
BABCOCK ST,41.5560472
BABSON ST,36.2712330695122
BACK ST,13.996683343499999
BADGER PL,19.73209686
BADGER RD,15.0
BAGNAL ST,17.20733427
BAILEY ST,22.404933199999995
BAIRD ST,50.56261343
BAKER AV,37.13973003
BAKER CT,30.29239766
BAKER PL,6.417202845
BAKER ST,8.576378720740742
BAKERS AL,23.3374133
BAKERSFIELD ST,24.24242424
BALDWIN PL,26.4223853
BALDWIN ST,15.834697219999999
BALFOUR ST,35.91145122
BALINA PL,39.50953678
BALL ST,61.98320413
BALLARD ST,19.23627685
BALLARD WY,19.23627685
BALLIN PL,19.96174578
BALLOU AV,17.83279512
BALLOU PL,17.83279512
BALMORAL PK,10.59498956
BALSAM ST,50.56261343
BANCROFT ST,65.31512605
BANFIELD AV,29.62442257
BANGOR RD,6.417202845
BANKS ST,6.417202845
BANTON ST,20.9717816
BANTRY WY,10.59498956
BARBARA ST,19.96174578
BARCLAY RD,4.260985353
BARD AV,53.02430752
BARDWELL ST,19.23627685
BARKER ST,28.72586873
BARLOW ST,28.840895945
BARNA RD,22.4049332
BARNARD PL,12.2374685
BARNES AV,33.03791236
BARRETT AV,10.59498956
BARRINGTON RD,15.57879553
BARROWS ST,42.17413186
BARRY PK,33.86442642
BARRY ST,29.9989736293617
