,ct_perc_over_65
,mean
st_loc,
A ST,6.758465510193549
ABBOT ST,5.760848967
ABBOTSFORD ST,10.01605136
ABBY RD,9.144334744
ABERDEEN ST,1.134572959
ACACIA RD,17.59758465
ACADEMY HILL RD,9.810712439411764
ACADIA ST,7.532903948
ACHORN CI,6.968973747
ACKLEY PL,5.088633994
ACORN ST,12.90245648
ACTON ST,12.4062713
ADA ST,13.73868647
ADAIR RD,7.758173326
ADAMS PL,22.19476026
ADAMS ST,11.874260190217262
ADAMS TE,9.145868858
ADAMSON ST,2.704031465
ADANAC TE,13.9199423
ADDINGTON RD,17.66000677
ADDISON ST,18.63536317
ADELAIDE ST,4.453961456
ADELAIDE TE,4.453961456
ADELLA PL,13.73930549
ADIRONDACK PL,11.73870334
ADRIAN ST,10.57666029
AGASSIZ PK,11.73740053
AGAWAM ST,9.145868858
AGNES AV,13.320261440000001
AGUADILLA ST,11.7032967
AINSLEY ST,8.32363213
AINSWORTH ST,19.440614539999995
AKRON PL,10.9947644
AKRON ST,10.9947644
ALABAMA ST,12.737226279999998
ALAMEDA RD,16.55570351
ALARIC ST,17.59758465
ALARIC TE,17.59758465
ALASKA ST,9.868875086
ALBAN ST,8.231758223
ALBANO ST,12.11245402
ALBANY ST,9.857834490353845
ALBEMARLE CT,12.4062713
ALBEMARLE ST,13.136413118333332
ALBERT PL,9.145868858
ALBERTA ST,15.6143924
ALBION PL,13.01145663
ALBION ST,9.59298567125
ALBRIGHT ST,17.66000677
ALCOTT ST,2.704031465
ALDER ST,12.11245402
ALDIE ST,5.9241831045
ALDO TE,12.94642857
ALDRICH ST,15.40116815
ALDWIN RD,6.538461538
ALDWORTH ST,11.73740053
ALEXANDER ST,6.712878511
ALFORD ST,13.01145663
ALFRED ST,7.007476961
ALGER ST,5.401234568
ALGONQUIN ST,9.870466321
ALHAMBRA RD,16.55570351
ALICIA RD,12.31243577
ALKYRIS RD,21.13064461
ALLANDALE ST,25.13410533923077
ALLEGHANY ST,8.686168353307693
ALLEN RD,10.01287001
ALLEN ST,7.254331603
ALLENWOOD ST,15.614392400000002
ALLERTON ST,3.9104477609999995
ALLEYNE ST,15.6143924
ALLSTATE RD,9.122807018
ALLSTON ST,7.073096195443395
ALMONT ST,12.097117427594936
ALNA PL,9.457755359
ALPHA RD,7.196177964
ALPHEUS RD,10.50340136
ALPINE PL,10.9947644
ALPINE ST,11.069780433548386
ALPINE WY,9.992706054
ALTACREST RD,17.59758465
ALTAIR RD,21.13064461
ALTHEA ST,9.145868858
ALTHER ST,3.910447761
ALVAH KITTREDGE PK,9.423909424
ALVAN TE,5.534941249
ALVARADO AV,12.4062713
ALVESTON ST,7.007476961
ALVESTON TE,7.007476961
ALWARD RD,28.393398449999996
ALWIN ST,12.4062713
AMBOY ST,2.704031465
AMBROSE ST,4.522328999
AMERICAN LEGION HW,8.57958884637647
AMESBURY ST,17.66000677
AMHERST ST,12.11245402
AMORET RD,21.13064461
AMORY AV,16.65966387
AMORY ST,8.638632192421053
ANAWAN AV,15.570493289705883
ANAWAN TE,15.401168149999998
ANCHOR WY,0.0
ANDERSON PL,4.658810633
ANDERSON ST,5.574771282666666
ANDOVER RD,28.39339845
ANDRIA RD,13.32026144
ANGELL ST,5.760848967
ANITA TE,9.423909424
ANNABEL ST,5.534941249
ANNAFRAN ST,13.320261440000001
ANNAPOLIS ST,5.534941249
ANNAVOY ST,11.3244707
ANNUNCIATION RD,5.302445302
ANSEL RD,8.511796733
ANSELM TE,10.06030702
ANSON ST,8.897935446
ANSONIA RD,17.59758465
ANTHONY J GRIECO TE,6.495395056
ANTHONY R VALENTI WY,8.235294118
ANTRIM ST,11.3244707
ANTWERP ST,9.144334744000002
APPIAN PL,4.240674956
APPIAN WY,9.144334744
APPLETON ST,11.71964067689855
ARAMON ST,9.457755359
ARBELLA RD,12.312435769999999
ARBORCREST TE,15.60554328
ARBORETUM RD,6.538461538
ARBORFIELD RD,13.320261440000001
ARBOROUGH RD,19.44061454
ARBORVIEW RD,22.34042553
ARBORWAY ,15.619180488000001
ARBORWAY ST,10.808378504053334
ARBORWAY TE,11.73740053
ARBROTH ST,8.32363213
ARBUTUS ST,8.511796733
ARCADIA PK,9.625884732
ARCADIA ST,8.449560466592592
ARCH ST,13.75804812
ARCHDALE RD,6.538461538
ARCOLA ST,11.86693148
ARDALE ST,19.44061454
ARDEE ST,9.457755359
ARDEN ST,2.704031465
ARDENT ST,15.401168149999998
ARDMORE RD,16.55570351
ARGUS PL,10.06030702
ARGYLE ST,8.231758223
ARGYLE TE,8.231758223
ARION ST,6.712878511
ARLINGTON AV,13.011456630000001
ARLINGTON CT,10.01287001
ARLINGTON ST,12.62321799614815
ARMANDINE ST,10.099186930949152
ARMINGTON ST,13.73930549
ARMORY ST,13.011456630000001
ARMSTRONG ST,7.121407121
ARNOLD PL,13.70999605
ARUNDEL ST,1.134572959
ARVALE RD,9.870466321
ASCOT ST,9.144334744
ASHBURTON PL,20.54597701
ASHCROFT ST,7.007476960999999
ASHEVILLE RD,10.50340136
ASHEVILLE ST,10.50340136
ASHFIELD ST,19.44061454
ASHFORD CT,2.704031465
ASHFORD ST,2.704031465
ASHFORD TE,2.704031465
ASHLAND AV,17.59758465
ASHLAND ST,9.145868858
ASHLEY ST,10.49886892555357
ASHMONT CT,16.10365571
ASHMONT PK,13.919942299999999
ASHMONT ST,12.465486587639752
ASHMORE RD,6.538461538
ASHTON ST,8.45235264209091
ASHWOOD TE,13.73868647
ASPEN ST,9.868875086
ASPINWALL RD,11.23401314
ASTICOU RD,6.538461538
ASTORIA ST,11.53321201
ATHELWOLD ST,11.23401314
ATHENS ST,6.923248176173913
ATHERSTONE ST,12.31243577
ATHERTON AV,12.161423566666665
ATHERTON PL,16.65966387
ATHERTON ST,11.1634246789
ATHOL ST,9.144334744
ATKINS ST,13.02919708
ATKINSON ST,3.910447761
ATLANTIC AV,16.845882189586206
ATLANTIC ST,13.90701468
ATLANTIS ST,17.66000677
ATWILL RD,16.55570351
ATWOOD SQ,6.968973747
AU BON PAIN WY,0.0
AUBURN PL,13.01145663
AUBURN SQ,13.01145663
AUBURN ST,13.01145663
AUBURN TE,13.01145663
AUCKLAND ST,9.480422721307692
AUGUSTUS AV,13.41343998
AURIGA ST,8.32363213
AUSTIN AV,11.3244707
AUSTIN ST,13.43035109027211
AUTUMN ST,14.928681150000001
AVALON RD,17.66000677
AVENUE DE LAFAYETTE ,13.75804812
AVENUE LOUIS PASTEUR ,0.226290887
AVERBUCH TE,6.322393822
AVERTON ST,12.11245402
AVERY PL,13.01145663
AVERY ST,13.75804812
AVILA RD,13.70999605
AVON PL,6.67181865
AVON ST,22.34042553
AVONDALE ST,11.73870334
AYLES RD,15.91977437
AYR RD,4.823100111
B ST,7.3302490685625
BABBITT ST,0.350186036
BABCOCK ST,2.704031465
BABSON ST,14.214991139024388
BACK ST,10.4270816955
BADGER PL,6.67181865
BADGER RD,12.94642857
BAGNAL ST,9.144334744
BAILEY ST,12.31243577
BAIRD ST,8.511796733
BAKER AV,6.712878511
BAKER CT,9.122807018
BAKER PL,17.66000677
BAKER ST,17.32196738871605
BAKERS AL,8.771929825
BAKERSFIELD ST,5.534941249
BALDWIN PL,11.264081066363637
BALDWIN ST,13.01145663
BALFOUR ST,10.57666029
BALINA PL,10.74780503
BALL ST,7.751937984
BALLARD ST,6.968973747
BALLARD WY,6.968973747
BALLIN PL,7.007476961
BALLOU AV,7.857911732999999
BALLOU PL,7.857911733
BALMORAL PK,8.246346555
BALSAM ST,8.511796733
BANCROFT ST,16.65966387
BANFIELD AV,15.60554328
BANGOR RD,17.66000677
BANKS ST,17.66000677
BANTON ST,8.231758223
BANTRY WY,8.246346555
BARBARA ST,7.007476961
BARCLAY RD,16.55570351
BARD AV,4.522328999
BARDWELL ST,6.968973747
BARKER ST,10.01287001
BARLOW ST,5.767697214666666
BARNA RD,12.312435769999999
BARNARD PL,7.532903948
BARNES AV,11.3244707
BARRETT AV,8.246346555
BARRINGTON RD,13.9199423
BARROWS ST,13.73930549
BARRY PK,9.009269988
BARRY ST,9.956425581148936
