st_loc,ptype,0
A ST,13.0,1
A ST,25.0,2
A ST,317.0,3
A ST,326.0,1
A ST,332.0,1
A ST,346.0,2
A ST,387.0,3
A ST,390.0,5
A ST,400.0,1
A ST,440.0,6
A ST,962.0,1
A ST,985.0,1
A ST,986.0,5
ABBOT ST,13.0,1
ABBOT ST,104.0,5
ABBOT ST,105.0,13
ABBOT ST,111.0,3
ABBOT ST,112.0,1
ABBOT ST,132.0,1
ABBOT ST,905.0,1
ABBOTSFORD ST,101.0,3
ABBOTSFORD ST,104.0,7
ABBOTSFORD ST,105.0,4
ABBOTSFORD ST,125.0,1
ABBY RD,101.0,2
ABBY RD,104.0,1
ABBY RD,111.0,1
ABBY RD,390.0,2
ABBY RD,905.0,1
ABERDEEN ST,25.0,1
ABERDEEN ST,101.0,2
ABERDEEN ST,343.0,1
ABERDEEN ST,904.0,2
ACACIA RD,101.0,6
ACACIA RD,104.0,1
ACADEMY HILL RD,13.0,1
ACADEMY HILL RD,101.0,9
ACADEMY HILL RD,104.0,11
ACADEMY HILL RD,105.0,2
ACADEMY HILL RD,109.0,1
ACADEMY HILL RD,111.0,2
ACADEMY HILL RD,319.0,1
ACADEMY HILL RD,326.0,1
ACADEMY HILL RD,332.0,1
ACADEMY HILL RD,401.0,1
ACADEMY HILL RD,906.0,3
ACADEMY HILL RD,978.0,1
ACADIA ST,105.0,2
ACADIA ST,132.0,1
ACHORN CI,104.0,1
ACKLEY PL,101.0,1
ACKLEY PL,111.0,1
ACKLEY PL,979.0,1
ACKLEY PL,986.0,1
ACORN ST,101.0,7
ACORN ST,104.0,1
ACTON ST,101.0,1
ACTON ST,132.0,4
ADA ST,101.0,2
ADA ST,104.0,1
ADA ST,985.0,1
ADAIR RD,101.0,3
ADAIR RD,104.0,5
ADAMS PL,979.0,3
ADAMS ST,13.0,12
ADAMS ST,31.0,9
ADAMS ST,101.0,67
ADAMS ST,104.0,77
ADAMS ST,105.0,72
ADAMS ST,106.0,1
ADAMS ST,109.0,1
ADAMS ST,111.0,11
ADAMS ST,112.0,1
ADAMS ST,113.0,2
ADAMS ST,121.0,1
ADAMS ST,125.0,1
ADAMS ST,126.0,1
ADAMS ST,130.0,5
ADAMS ST,132.0,9
ADAMS ST,311.0,1
ADAMS ST,317.0,1
ADAMS ST,319.0,11
ADAMS ST,320.0,4
ADAMS ST,325.0,2
ADAMS ST,326.0,3
ADAMS ST,327.0,1
ADAMS ST,329.0,1
ADAMS ST,332.0,4
ADAMS ST,334.0,1
ADAMS ST,337.0,1
ADAMS ST,341.0,2
ADAMS ST,342.0,1
ADAMS ST,343.0,1
ADAMS ST,390.0,5
ADAMS ST,392.0,1
ADAMS ST,406.0,1
ADAMS ST,901.0,1
ADAMS ST,907.0,4
ADAMS ST,985.0,16
ADAMS ST,986.0,4
ADAMS TE,104.0,3
ADAMS TE,105.0,1
