st_loc,use_class,0
A ST,Commercial,10
A ST,Industrial,1
A ST,Public & Quasi-Public,2
A ST,Residential (Mixed-Use),3
A ST,Vacant,16
ABBOT ST,Residential,23
ABBOT ST,Residential (Mixed-Use),1
ABBOT ST,Vacant,1
ABBOTSFORD ST,Residential,15
ABBY RD,Public & Quasi-Public,1
ABBY RD,Residential,4
ABBY RD,Vacant,2
ABERDEEN ST,Commercial,1
ABERDEEN ST,Residential,4
ABERDEEN ST,Residential (Mixed-Use),1
ACACIA RD,Residential,7
ACADEMY HILL RD,Commercial,3
ACADEMY HILL RD,Industrial,1
ACADEMY HILL RD,Public & Quasi-Public,4
ACADEMY HILL RD,Residential,26
ACADIA ST,Residential,2
ACADIA ST,Vacant,1
ACHORN CI,Residential,1
ACKLEY PL,Public & Quasi-Public,1
ACKLEY PL,Residential,2
ACKLEY PL,Vacant,1
ACORN ST,Residential,8
ACTON ST,Residential,1
ACTON ST,Vacant,4
ADA ST,Public & Quasi-Public,1
ADA ST,Residential,3
ADAIR RD,Residential,8
ADAMS PL,Public & Quasi-Public,3
ADAMS ST,Commercial,42
ADAMS ST,Industrial,1
ADAMS ST,Public & Quasi-Public,21
ADAMS ST,Residential,239
ADAMS ST,Residential (Mixed-Use),9
ADAMS ST,Vacant,24
ADAMS TE,Residential,4
ADAMSON ST,Commercial,1
ADAMSON ST,Public & Quasi-Public,2
ADAMSON ST,Residential,33
ADAMSON ST,Vacant,1
ADANAC TE,Residential,5
ADANAC TE,Vacant,2
ADDINGTON RD,Residential,33
ADDISON ST,Commercial,7
ADDISON ST,Public & Quasi-Public,1
ADDISON ST,Residential,8
ADDISON ST,Vacant,2
ADELAIDE ST,Public & Quasi-Public,1
ADELAIDE ST,Residential,11
ADELAIDE ST,Vacant,1
ADELAIDE TE,Residential,2
ADELLA PL,Residential,2
ADIRONDACK PL,Residential,1
ADRIAN ST,Public & Quasi-Public,1
ADRIAN ST,Residential,1
ADRIAN ST,Vacant,3
AGASSIZ PK,Residential,5
AGAWAM ST,Residential,9
AGNES AV,Commercial,2
AGNES AV,Residential,2
AGNES AV,Vacant,2
AGUADILLA ST,Residential (Mixed-Use),2
AINSLEY ST,Residential,9
AINSWORTH ST,Public & Quasi-Public,1
AINSWORTH ST,Residential,26
AINSWORTH ST,Residential (Mixed-Use),1
AKRON PL,Residential,4
AKRON ST,Public & Quasi-Public,2
AKRON ST,Residential,11
AKRON ST,Vacant,3
ALABAMA ST,Commercial,1
ALABAMA ST,Public & Quasi-Public,26
ALABAMA ST,Residential,47
ALABAMA ST,Vacant,23
ALAMEDA RD,Residential,11
ALAMEDA RD,Vacant,1
ALARIC ST,Residential,15
ALARIC ST,Vacant,1
ALARIC TE,Residential,4
ALARIC TE,Vacant,2
ALASKA ST,Residential,16
ALASKA ST,Vacant,1
ALBAN ST,Residential,31
ALBANO ST,Residential,28
ALBANY ST,Commercial,12
ALBANY ST,Industrial,4
ALBANY ST,Public & Quasi-Public,32
ALBANY ST,Residential,2
ALBANY ST,Residential (Mixed-Use),4
ALBANY ST,Vacant,11
ALBEMARLE CT,Residential,3
ALBEMARLE ST,Public & Quasi-Public,1
ALBEMARLE ST,Residential,4
ALBEMARLE ST,Vacant,1
ALBERT PL,Commercial,1
ALBERTA ST,Commercial,2
ALBERTA ST,Residential,9
ALBERTA ST,Vacant,1
ALBION PL,Residential,12
ALBION ST,Residential,29
ALBION ST,Vacant,3
ALBRIGHT ST,Residential,12
ALCOTT ST,Public & Quasi-Public,1
ALCOTT ST,Residential,13
ALDER ST,Residential,1
ALDER ST,Vacant,2
ALDIE ST,Commercial,1
ALDIE ST,Residential,31
ALDO TE,Residential,6
ALDRICH ST,Residential,62
ALDRICH ST,Vacant,2
ALDWIN RD,Residential,2
ALDWORTH ST,Residential,19
ALEXANDER ST,Public & Quasi-Public,2
ALEXANDER ST,Residential,70
ALEXANDER ST,Vacant,16
ALFORD ST,Commercial,2
ALFORD ST,Industrial,2
ALFORD ST,Public & Quasi-Public,9
ALFORD ST,Vacant,2
ALFRED ST,Residential,1
ALGER ST,Commercial,2
ALGER ST,Industrial,1
ALGER ST,Vacant,7
ALGONQUIN ST,Public & Quasi-Public,2
ALGONQUIN ST,Residential,18
ALGONQUIN ST,Residential (Mixed-Use),3
ALHAMBRA RD,Residential,10
ALHAMBRA RD,Vacant,1
ALICIA RD,Public & Quasi-Public,1
ALICIA RD,Residential,31
ALKYRIS RD,Residential,1
ALKYRIS RD,Vacant,3
ALLANDALE ST,Commercial,2
ALLANDALE ST,Public & Quasi-Public,5
ALLANDALE ST,Residential,16
ALLANDALE ST,Vacant,3
ALLEGHANY ST,Public & Quasi-Public,4
ALLEGHANY ST,Residential,19
ALLEGHANY ST,Vacant,3
