id,building_typology,use_class,year_built_class,st_name,st_name_suf,ptype,lu,ct_perc_children_under_5,ct_perc_over_65,ct_perc_income_200000_or_more,ct_perc_low_to_no_income,st_loc,category
79096,Garage,Commercial,,BARBARA,ST,337,CL,12.86732742,7.007476961,16.70182841,19.96174578,BARBARA ST,parking area
28345,Garage,Commercial,,CHELSEA,ST,337,CL,19.69360568,4.240674956,4.739336493,27.26465364,CHELSEA ST,parking area
51081,Garage,Commercial,,SPICE,ST,337,CL,13.33878887,13.01145663,26.01568068,15.83469722,SPICE ST,parking area
96948,Garage,Commercial,,WASHINGTON,ST,337,CL,16.60366386,8.897935446,6.508549366,35.50450712,WASHINGTON ST,parking area
41481,Garage,Commercial,,DUDLEY,ST,337,CL,30.57921635,7.580919932,2.251655629,36.79727428,DUDLEY ST,parking area
36723,Multi-Family (>= 100 units),Residential,1980-present,COMMONWEALTH,AV,904,E,0.744145327,0.350186036,7.660455487,8.57955789,COMMONWEALTH AV,education
39797,Convention/Assembly,Public & Quasi-Public,1980-present,BROOKLINE,AV,977,E,2.427484057,0.226290887,1.785714286,3.826373174,BROOKLINE AV,education
9930,Convention/Assembly,Public & Quasi-Public,1980-present,COMMONWEALTH,AV,977,E,2.55164034,1.458080194,5.614035088,9.082624544,COMMONWEALTH AV,education
39130,Convention/Assembly,Public & Quasi-Public,1980-present,PARKER,ST,977,E,1.08656284,5.994204998,0.362756953,21.56827237,PARKER ST,education
65390,Medical/Lab/Production,Public & Quasi-Public,1980-present,BLACKFAN,ST,979,E,12.33128834,11.37014315,2.188081937,55.58282209,BLACKFAN ST,hospital
70259,Medical/Lab/Production,Public & Quasi-Public,1980-present,BLACKFAN,ST,979,E,12.33128834,11.37014315,2.188081937,55.58282209,BLACKFAN ST,hospital
46777,Convention/Assembly,Public & Quasi-Public,1950-1979,HARRISON,AV,977,E,13.4825473,9.778843592,19.54022989,43.64508393,HARRISON AV,education
42789,Garage,Commercial,,PIEDMONT,ST,337,CL,12.94448708,14.07009465,27.31762918,24.32847276,PIEDMONT ST,parking area
35122,Medical/Lab/Production,Public & Quasi-Public,Pre-1915,CHARLES,ST,979,E,3.163618389,22.19476026,21.12036336,22.54078102,CHARLES ST,hospital
