"STATION","NAME","DATE","TAVG"
"USW00014739","BOSTON, MA US","2015-06-01","48"
"USW00014739","BOSTON, MA US","2015-06-02","47"
"USW00014739","BOSTON, MA US","2015-06-03","50"
"USW00014739","BOSTON, MA US","2015-06-04","52"
"USW00014739","BOSTON, MA US","2015-06-05","54"
"USW00014739","BOSTON, MA US","2015-06-06","58"
"USW00014739","BOSTON, MA US","2015-06-07","59"
"USW00014739","BOSTON, MA US","2015-06-08","63"
"USW00014739","BOSTON, MA US","2015-06-09","69"
"USW00014739","BOSTON, MA US","2015-06-10","71"
"USW00014739","BOSTON, MA US","2015-06-11","75"
"USW00014739","BOSTON, MA US","2015-06-12","74"
"USW00014739","BOSTON, MA US","2015-06-13","73"
"USW00014739","BOSTON, MA US","2015-06-14","70"
"USW00014739","BOSTON, MA US","2015-06-15","58"
"USW00014739","BOSTON, MA US","2015-06-16","59"
"USW00014739","BOSTON, MA US","2015-06-17","66"
"USW00014739","BOSTON, MA US","2015-06-18","65"
"USW00014739","BOSTON, MA US","2015-06-19","69"
"USW00014739","BOSTON, MA US","2015-06-20","65"
"USW00014739","BOSTON, MA US","2015-06-21","66"
"USW00014739","BOSTON, MA US","2015-06-22","66"
"USW00014739","BOSTON, MA US","2015-06-23","72"
"USW00014739","BOSTON, MA US","2015-06-24","76"
"USW00014739","BOSTON, MA US","2015-06-25","73"
"USW00014739","BOSTON, MA US","2015-06-26","68"
"USW00014739","BOSTON, MA US","2015-06-27","63"
"USW00014739","BOSTON, MA US","2015-06-28","59"
"USW00014739","BOSTON, MA US","2015-06-29","60"
"USW00014739","BOSTON, MA US","2015-06-30","68"
"USW00014739","BOSTON, MA US","2015-07-01","69"
"USW00014739","BOSTON, MA US","2015-07-02","72"
"USW00014739","BOSTON, MA US","2015-07-03","71"
"USW00014739","BOSTON, MA US","2015-07-04","67"
"USW00014739","BOSTON, MA US","2015-07-05","71"
"USW00014739","BOSTON, MA US","2015-07-06","75"
"USW00014739","BOSTON, MA US","2015-07-07","74"
"USW00014739","BOSTON, MA US","2015-07-08","79"
"USW00014739","BOSTON, MA US","2015-07-09","69"
"USW00014739","BOSTON, MA US","2015-07-10","67"
"USW00014739","BOSTON, MA US","2015-07-11","75"
"USW00014739","BOSTON, MA US","2015-07-12","80"
"USW00014739","BOSTON, MA US","2015-07-13","75"
"USW00014739","BOSTON, MA US","2015-07-14","71"
"USW00014739","BOSTON, MA US","2015-07-15","74"
"USW00014739","BOSTON, MA US","2015-07-16","65"
"USW00014739","BOSTON, MA US","2015-07-17","67"
"USW00014739","BOSTON, MA US","2015-07-18","70"
"USW00014739","BOSTON, MA US","2015-07-19","78"
"USW00014739","BOSTON, MA US","2015-07-20","83"
"USW00014739","BOSTON, MA US","2015-07-21","78"
"USW00014739","BOSTON, MA US","2015-07-22","76"
"USW00014739","BOSTON, MA US","2015-07-23","74"
"USW00014739","BOSTON, MA US","2015-07-24","72"
"USW00014739","BOSTON, MA US","2015-07-25","66"
"USW00014739","BOSTON, MA US","2015-07-26","68"
"USW00014739","BOSTON, MA US","2015-07-27","75"
"USW00014739","BOSTON, MA US","2015-07-28","75"
"USW00014739","BOSTON, MA US","2015-07-29","80"
"USW00014739","BOSTON, MA US","2015-07-30","83"
"USW00014739","BOSTON, MA US","2015-07-31","80"
"USW00014739","BOSTON, MA US","2015-08-01","79"
"USW00014739","BOSTON, MA US","2015-08-02","78"
"USW00014739","BOSTON, MA US","2015-08-03","78"
"USW00014739","BOSTON, MA US","2015-08-04","76"
"USW00014739","BOSTON, MA US","2015-08-05","75"
"USW00014739","BOSTON, MA US","2015-08-06","74"
"USW00014739","BOSTON, MA US","2015-08-07","70"
"USW00014739","BOSTON, MA US","2015-08-08","67"
"USW00014739","BOSTON, MA US","2015-08-09","66"
"USW00014739","BOSTON, MA US","2015-08-10","70"
"USW00014739","BOSTON, MA US","2015-08-11","68"
"USW00014739","BOSTON, MA US","2015-08-12","75"
"USW00014739","BOSTON, MA US","2015-08-13","73"
"USW00014739","BOSTON, MA US","2015-08-14","75"
"USW00014739","BOSTON, MA US","2015-08-15","76"
"USW00014739","BOSTON, MA US","2015-08-16","75"
"USW00014739","BOSTON, MA US","2015-08-17","80"
"USW00014739","BOSTON, MA US","2015-08-18","78"
"USW00014739","BOSTON, MA US","2015-08-19","78"
"USW00014739","BOSTON, MA US","2015-08-20","73"
"USW00014739","BOSTON, MA US","2015-08-21","72"
"USW00014739","BOSTON, MA US","2015-08-22","71"
"USW00014739","BOSTON, MA US","2015-08-23","68"
"USW00014739","BOSTON, MA US","2015-08-24","71"
"USW00014739","BOSTON, MA US","2015-08-25","71"
"USW00014739","BOSTON, MA US","2015-08-26","76"
"USW00014739","BOSTON, MA US","2015-08-27","74"
"USW00014739","BOSTON, MA US","2015-08-28","70"
"USW00014739","BOSTON, MA US","2015-08-29","72"
"USW00014739","BOSTON, MA US","2015-08-30","77"
"USW00014739","BOSTON, MA US","2015-08-31","80"
"USW00014739","BOSTON, MA US","2015-09-01","76"
"USW00014739","BOSTON, MA US","2015-09-02","77"
"USW00014739","BOSTON, MA US","2015-09-03","76"
"USW00014739","BOSTON, MA US","2015-09-04","69"
"USW00014739","BOSTON, MA US","2015-09-05","65"
"USW00014739","BOSTON, MA US","2015-09-06","70"
"USW00014739","BOSTON, MA US","2015-09-07","77"
"USW00014739","BOSTON, MA US","2015-09-08","81"
"USW00014739","BOSTON, MA US","2015-09-09","80"
"USW00014739","BOSTON, MA US","2015-09-10","74"
"USW00014739","BOSTON, MA US","2015-09-11","65"
"USW00014739","BOSTON, MA US","2015-09-12","66"
"USW00014739","BOSTON, MA US","2015-09-13","64"
"USW00014739","BOSTON, MA US","2015-09-14","65"
"USW00014739","BOSTON, MA US","2015-09-15","71"
"USW00014739","BOSTON, MA US","2015-09-16","73"
"USW00014739","BOSTON, MA US","2015-09-17","76"
"USW00014739","BOSTON, MA US","2015-09-18","75"
"USW00014739","BOSTON, MA US","2015-09-19","70"
"USW00014739","BOSTON, MA US","2015-09-20","71"
"USW00014739","BOSTON, MA US","2015-09-21","60"
"USW00014739","BOSTON, MA US","2015-09-22","63"
"USW00014739","BOSTON, MA US","2015-09-23","61"
"USW00014739","BOSTON, MA US","2015-09-24","65"
"USW00014739","BOSTON, MA US","2015-09-25","61"
"USW00014739","BOSTON, MA US","2015-09-26","58"
"USW00014739","BOSTON, MA US","2015-09-27","56"
"USW00014739","BOSTON, MA US","2015-09-28","65"
"USW00014739","BOSTON, MA US","2015-09-29","72"
"USW00014739","BOSTON, MA US","2015-09-30","71"
"USW00014739","BOSTON, MA US","2015-10-01","58"
"USW00014739","BOSTON, MA US","2015-10-02","53"
"USW00014739","BOSTON, MA US","2015-10-03","52"
"USW00014739","BOSTON, MA US","2015-10-04","54"
"USW00014739","BOSTON, MA US","2015-10-05","54"
"USW00014739","BOSTON, MA US","2015-10-06","55"
"USW00014739","BOSTON, MA US","2015-10-07","60"
"USW00014739","BOSTON, MA US","2015-10-08","58"
"USW00014739","BOSTON, MA US","2015-10-09","60"
"USW00014739","BOSTON, MA US","2015-10-10","57"
"USW00014739","BOSTON, MA US","2015-10-11","56"
"USW00014739","BOSTON, MA US","2015-10-12","62"
"USW00014739","BOSTON, MA US","2015-10-13","61"
"USW00014739","BOSTON, MA US","2015-10-14","63"
"USW00014739","BOSTON, MA US","2015-10-15","54"
"USW00014739","BOSTON, MA US","2015-10-16","55"
"USW00014739","BOSTON, MA US","2015-10-17","51"
"USW00014739","BOSTON, MA US","2015-10-18","41"
"USW00014739","BOSTON, MA US","2015-10-19","38"
"USW00014739","BOSTON, MA US","2015-10-20","53"
"USW00014739","BOSTON, MA US","2015-10-21","58"
"USW00014739","BOSTON, MA US","2015-10-22","60"
"USW00014739","BOSTON, MA US","2015-10-23","54"
"USW00014739","BOSTON, MA US","2015-10-24","43"
"USW00014739","BOSTON, MA US","2015-10-25","54"
"USW00014739","BOSTON, MA US","2015-10-26","49"
"USW00014739","BOSTON, MA US","2015-10-27","46"
"USW00014739","BOSTON, MA US","2015-10-28","49"
"USW00014739","BOSTON, MA US","2015-10-29","67"
"USW00014739","BOSTON, MA US","2015-10-30","56"
"USW00014739","BOSTON, MA US","2015-10-31","45"
"USW00014739","BOSTON, MA US","2015-11-01","53"
"USW00014739","BOSTON, MA US","2015-11-02","57"
"USW00014739","BOSTON, MA US","2015-11-03","57"
"USW00014739","BOSTON, MA US","2015-11-04","57"
"USW00014739","BOSTON, MA US","2015-11-05","61"
"USW00014739","BOSTON, MA US","2015-11-06","67"
"USW00014739","BOSTON, MA US","2015-11-07","62"
"USW00014739","BOSTON, MA US","2015-11-08","51"
"USW00014739","BOSTON, MA US","2015-11-09","51"
"USW00014739","BOSTON, MA US","2015-11-10","49"
"USW00014739","BOSTON, MA US","2015-11-11","48"
"USW00014739","BOSTON, MA US","2015-11-12","47"
"USW00014739","BOSTON, MA US","2015-11-13","54"
"USW00014739","BOSTON, MA US","2015-11-14","45"
"USW00014739","BOSTON, MA US","2015-11-15","43"
"USW00014739","BOSTON, MA US","2015-11-16","53"
"USW00014739","BOSTON, MA US","2015-11-17","40"
"USW00014739","BOSTON, MA US","2015-11-18","40"
"USW00014739","BOSTON, MA US","2015-11-19","47"
"USW00014739","BOSTON, MA US","2015-11-20","56"
"USW00014739","BOSTON, MA US","2015-11-21","44"
"USW00014739","BOSTON, MA US","2015-11-22","43"
"USW00014739","BOSTON, MA US","2015-11-23","40"
"USW00014739","BOSTON, MA US","2015-11-24","35"
"USW00014739","BOSTON, MA US","2015-11-25","39"
"USW00014739","BOSTON, MA US","2015-11-26","46"
"USW00014739","BOSTON, MA US","2015-11-27","54"
"USW00014739","BOSTON, MA US","2015-11-28","52"
"USW00014739","BOSTON, MA US","2015-11-29","38"
"USW00014739","BOSTON, MA US","2015-11-30","33"
"USW00014739","BOSTON, MA US","2015-12-01","38"
"USW00014739","BOSTON, MA US","2015-12-02","43"
"USW00014739","BOSTON, MA US","2015-12-03","48"
"USW00014739","BOSTON, MA US","2015-12-04","43"
"USW00014739","BOSTON, MA US","2015-12-05","44"
"USW00014739","BOSTON, MA US","2015-12-06","44"
